ticker,action,horizon,thesis,entry,target,stop,conviction,score,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,r120,r252,volatility60
JNJ,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,206.37,278.59950000000003,165.096,High,0.923581302924695,206.37,209.24,206.03,197.75119999999998,172.4271,3.943578571428572,2009613366.0885003,2.5478246769870165,4.096475126054324,-0.02462425560071846,0.016250553996159045,0.1611433072638273,0.3235633658286301,0.4095348678368964,0.15903080335069822
C,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,114.86,155.061,91.888,High,0.9163705844252136,114.86,115.605,113.045,102.6478,87.84445000000001,2.3282857142857147,1502305713.757,2.7178804167170383,0.6444357942995584,0.02737030411449015,0.17648263853323787,0.12486534129859961,0.3314014141648314,0.6150168728908885,0.23984077596493844
BK,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,115.84,156.38400000000001,92.67200000000001,High,0.9060828597063483,115.84,116.09,114.58,110.29639999999999,97.3433,2.0182071428571424,429796388.2795,2.2442593629117953,2.981574539363486,-0.010168332906092425,0.08810820965620891,0.06197286395306212,0.2778819635962493,0.47660930528999357,0.18324292219811514
HII,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,336.64,454.464,269.312,High,0.896502420018575,336.64,337.4399,324.15,308.32899999999995,258.73445000000004,9.460072642857146,140448946.373,3.2734547834346177,0.23704961979897352,0.0297320445368896,0.11532982142265524,0.2410691244239631,0.36673297876659494,0.7398315158406117,0.30642903217629247
FOXA,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,71.77,96.8895,57.416,High,0.8946285510149691,71.77,72.31,70.87,64.75280000000001,57.75315,1.4364285714285714,261810352.1,2.80374341131217,1.631030701754383,0.009423347398030968,0.10178077985876577,0.1915988709945211,0.2822940861175629,0.4626044426329732,0.2502125766055096
STLD,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,174.28,235.27800000000002,139.424,High,0.8895183047386097,174.28,176.98,173.2,158.7629,136.95502499999998,4.367692857142854,234000020.81525,2.3951703339097565,1.5255961125550845,0.013432575449206174,0.13826660570831417,0.28062311705489007,0.3390188621259267,0.4697250801146906,0.30529200956894126
RTX,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,182.01,245.7135,145.608,High,0.8810419373220606,182.01,183.24,178.657,173.0722,151.29737500000002,3.6256000000000017,919482020.2455,2.1754803833801772,0.6712508185985692,0.018750699652972047,0.05372546749261864,0.133948040620522,0.262292808100423,0.5500766479305057,0.26456590564446353
RL,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,362.53,489.4155,290.024,High,0.8768873537551932,362.53,371.61,360.34,340.6788,287.56625,10.493221428571433,289681890.65250003,1.9558439137769166,4.597368421052638,-0.02077143320188013,0.10879006606312691,0.19690316616593484,0.33234105108416,0.5905321809327424,0.2905259086592321
CMI,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,506.72,684.0720000000001,405.37600000000003,High,0.8748326259371819,506.72,514.94,503.63,465.5326,377.84205000000003,13.049007142857155,514280946.5385,1.9127474884056506,3.7568850902184185,-0.0065287716890500835,0.08927534985704777,0.2238431069461888,0.5372853588981252,0.40276278271461385,0.3110983777847099
GS,Buy,1+ year,Long-term compounding: above 200d trend with positive 12m returns and controlled volatility.,893.48,1206.198,714.7840000000001,High,0.8738679539995237,893.48,899.7475,881.951,808.9842,693.49515,21.273600000000005,1957018519.148,2.0994931100314385,2.7872979812816414,0.006216496238569347,0.15481452759467484,0.12421359907393437,0.2647283639554965,0.5547435094313358,0.25503180965552186
