ticker,equity,earnings,long_term_debt,Concervatively_Financed,Average Annual Compounding Rate,Average Annual Compounding Years,SD of EPS,Shares Outstanding Trend,Percent Rate of Return from Retained Earnings,Average Return on Equity,share_price_for_7_percent_gov_bond,Estimated Initial Return Rate,Percent Annual Growth Rate,Future Equity Per Share,Future Earnings Per Share,Future Stock Price Based On Pe
MMM,4807000000.0,37479000000.0,13088000000.0,No,-0.7137793587229787,3,9.771349382250131,Stagnant,8.022015773585466,nan,-180.42857142857142,-0.09678160919540231,nan,nan,nan,nan
AOS,1844400000.0,3258100000.0,117300000.0,Yes,0.4444640414110639,3,0.8325190676069752,Stagnant,0.25907130807402934,nan,52.99999999999999,0.047539722661149204,nan,nan,nan,nan
ABT,38603000000.0,37554000000.0,13599000000.0,Maybe,0.13400439506771622,3,0.6035394075656432,Stagnant,0.11422066206258134,nan,47.147371428571425,0.029044407988848452,nan,nan,nan,nan
ABBV,10360000000.0,-1000000000.0,52194000000.0,No,0.3108345281208265,3,1.9635240308479802,Stagnant,-0.047917202259024794,nan,39.339614285714276,0.014233591681526903,nan,nan,nan,nan
ACN,25692839000.0,19316224000.0,43093000.0,Yes,0.1099079642483874,3,1.1964400319280528,Stagnant,0.12192013593882757,0.7548822369425504,155.7142857142857,0.03199295453319931,0.4328453193477927,233.4735374617591,176.24502622602304,7297.654776444045
ADBE,16518000000.0,33346000000.0,3634000000.0,Yes,0.03265162531058796,3,0.7240511031688298,Stagnant,0.021607806691449807,nan,169.57142857142856,0.020791731463284932,nan,nan,nan,nan
AMD,55892000000.0,723000000.0,1717000000.0,Yes,-0.26931431576462006,3,0.8592838588033642,Stagnant,-0.25779967159277506,nan,7.571428571428571,0.0038211969117618425,nan,nan,nan,nan
AES,1650000000.0,-1386000000.0,22746000000.0,No,-3.607080977132956,3,0.48509663985643103,Stagnant,-0.08665511265164645,nan,5.285714285714286,0.02176470588235294,nan,nan,nan,nan
AFL,21985000000.0,47993000000.0,7240000000.0,Yes,0.0552932806399001,3,0.5212005372215188,Stagnant,0.05054151624548734,nan,111.57142857142856,0.07115524642853492,nan,nan,nan,nan
A,5845000000.0,782000000.0,2735000000.0,No,0.2560260766892839,3,0.7848885271170677,Stagnant,0.16538326916345814,nan,60.28571428571428,0.030480318476118092,nan,nan,nan,nan
APD,14312900000.0,17289700000.0,9431300000.0,Maybe,0.06725391747613989,3,0.7132452243092836,Stagnant,0.133138258961229,nan,147.85714285714283,0.0379357127492969,nan,nan,nan,nan
ABNB,8165000000.0,-3425000000.0,1991000000.0,Yes,-1.881059994104703,3,8.887359000287994,Stagnant,-3.8129032258064512,nan,107.42857142857142,0.06462146448837196,nan,nan,nan,nan
AKAM,4597155000.0,2467980000.0,3538229000.0,Maybe,0.026910166017456365,3,0.2699999999999999,Stagnant,0.011173184357541879,nan,51.28571428571428,0.03620411322525794,nan,nan,nan,nan
ALB,9412180000.0,6987015000.0,3541002000.0,Maybe,6.451403609976719,3,8.677769010523384,Stagnant,0.28472622478386167,nan,191.57142857142856,0.16506647405982314,nan,nan,nan,nan
ARE,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALGN,3630489000.0,2447174000.0,96968000.0,Yes,-0.2780547399131867,3,7.1072054107082065,Stagnant,-0.39116202945990186,nan,83.14285714285714,0.02563989541017599,nan,nan,nan,nan
ALLE,1318300000.0,1578900000.0,1602400000.0,No,0.24193833688787733,3,1.0029051550371053,Stagnant,0.19054242002781643,nan,87.85714285714285,0.04513761467889908,nan,nan,nan,nan
LNT,6777000000.0,3756000000.0,8225000000.0,No,0.04037171997948463,3,0.11840080236214605,Stagnant,0.07840161861406161,nan,39.71428571428571,0.04709469858527266,nan,nan,nan,nan
ALL,15769000000.0,49716000000.0,7942000000.0,Maybe,-1.172774032536607,3,8.605017068547859,Stagnant,-4.941952506596302,nan,-17.142857142857142,-0.00639522491954453,nan,nan,nan,nan
GOOGL,283379000000.0,211247000000.0,11870000000.0,Yes,0.3345725050516579,3,1.152847952193393,Stagnant,0.15106246342007418,nan,83.42857142857142,0.03712650913349578,nan,nan,nan,nan
GOOG,283379000000.0,211247000000.0,11870000000.0,Yes,0.3345725050516579,3,1.152847952193393,Stagnant,0.15106246342007418,nan,83.42857142857142,0.03680131016543608,nan,nan,nan,nan
MO,-3540000000.0,31094000000.0,25112000000.0,No,0.45725089249878437,3,1.1897358240912927,Stagnant,-0.7771452320149024,nan,65.86071428571428,0.08495024803966947,nan,nan,nan,nan
AMZN,201875000000.0,113618000000.0,58314000000.0,Yes,-4.153629803131595,3,1.3923543909508098,Stagnant,0.10086313193588164,nan,42.14285714285714,0.016644097881805688,nan,nan,nan,nan
