symbol,live_idx,bt_idx,entry_delta_s,exit_delta_s,live_entry_ts,bt_entry_ts,live_exit_ts,bt_exit_ts,live_pnl,bt_pnl,pnl_diff,live_side,bt_side,live_qty,bt_qty,live_entry_price,bt_entry_price,live_exit_price,bt_exit_price,live_config,bt_config
STI,0,1,62.0,66.0,2025-10-13 08:56:02-04:00,2025-10-13 08:55:00-04:00,2025-10-13 08:59:06-04:00,2025-10-13 08:58:00-04:00,-0.3656000000000006,-0.05318528571428516,-0.31241471428571543,long,long,1.0,1,11.98,11.959261714285715,11.6144,11.92607642857143,<NA>,<NA>
STI,1,2,62.0,3.0,2025-10-13 08:59:02-04:00,2025-10-13 08:58:00-04:00,2025-10-13 09:00:03-04:00,2025-10-13 09:00:00-04:00,-0.29999999999999893,-0.5315664285714288,0.23156642857142984,long,long,1.0,1,11.54,12.420753857142858,11.24,11.909187428571428,<NA>,<NA>
STI,2,3,62.0,346.0,2025-10-13 09:20:02-04:00,2025-10-13 09:19:00-04:00,2025-10-13 09:32:46-04:00,2025-10-13 09:27:00-04:00,-0.8900000000000006,-0.2503188571428563,-0.6396811428571443,long,long,1.0,1,12.05,11.90854242857143,11.16,11.678223571428573,<NA>,<NA>
STI,3,4,62.0,420.0,2025-10-13 09:32:02-04:00,2025-10-13 09:31:00-04:00,2025-10-13 09:40:00-04:00,2025-10-13 09:33:00-04:00,-1.4149999999999991,-2.0096862857142863,0.5946862857142872,long,long,1.0,1,11.92,13.009686285714286,10.505,11.02,<NA>,<NA>
GWH,4,6,62.0,600.0,2025-10-13 09:47:02-04:00,2025-10-13 09:46:00-04:00,2025-10-13 09:58:00-04:00,2025-10-13 09:48:00-04:00,0.6402000000000001,-0.22828571428571376,0.8684857142857139,long,long,1.0,1,6.6093,6.674685714285714,7.2495,6.4664,<NA>,<NA>
GWH,5,8,62.0,388.0,2025-10-13 09:58:02-04:00,2025-10-13 09:57:00-04:00,2025-10-13 10:05:28-04:00,2025-10-13 09:59:00-04:00,-0.3700000000000001,-0.19282542857142815,-0.17717457142857196,long,long,1.0,1,7.19,7.154827571428572,6.82,6.9820021428571435,<NA>,<NA>
GWH,6,9,62.0,123.0,2025-10-13 10:03:02-04:00,2025-10-13 10:02:00-04:00,2025-10-13 10:07:03-04:00,2025-10-13 10:05:00-04:00,-0.4005000000000001,-0.28868857142857074,-0.11181142857142934,long,long,1.0,1,7.2213,7.3856275714285715,6.8208,7.116939,<NA>,<NA>
STI,7,14,75.0,191.0,2025-10-13 10:28:15-04:00,2025-10-13 10:27:00-04:00,2025-10-13 10:32:11-04:00,2025-10-13 10:29:00-04:00,0.7442999999999991,-0.6228907142857132,1.3671907142857123,long,long,1.0,1,11.1699,11.902376142857143,11.9142,11.29948542857143,<NA>,<NA>
GWH,8,15,70.0,17.0,2025-10-13 10:34:10-04:00,2025-10-13 10:33:00-04:00,2025-10-13 10:35:17-04:00,2025-10-13 10:35:00-04:00,-0.15950000000000042,-0.16266285714285633,0.0031628571428559127,long,long,1.0,1,6.9095,7.093317714285714,6.75,6.950654857142857,<NA>,<NA>
AQMS,9,16,70.0,131.0,2025-10-13 10:37:10-04:00,2025-10-13 10:36:00-04:00,2025-10-13 10:40:11-04:00,2025-10-13 10:38:00-04:00,-0.2782,-0.04719542857143111,-0.2310045714285689,long,long,1.0,1,8.3682,8.233749000000001,8.09,8.20655357142857,<NA>,<NA>
