session,duration,orderType,complexOrderStrategyType,quantity,filledQuantity,remainingQuantity,requestedDestination,destinationLinkName,price,orderLegCollection,orderStrategyType,orderId,cancelable,editable,status,enteredTime,closeTime,tag,accountNumber,statusDescription,orderActivityCollection,taxLotMethod,stopPrice,stopType
NORMAL,DAY,LIMIT,NONE,4.0,0.0,0.0,AUTO,AutoRoute,2.35,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': 'G041JN130', 'symbol': 'AEHL', 'instrumentId': 232794584}, 'instruction': 'BUY', 'positionEffect': 'OPENING', 'quantity': 4.0}]",SINGLE,1005016004587,False,False,REJECTED,2025-12-30T14:39:50+0000,2025-12-30T14:39:50+0000,API_TOS:IPHONE,80157725,Opening transactions for this security must be placed with a broker. Contact us,,,,
NORMAL,DAY,LIMIT,NONE,2.0,2.0,0.0,AUTO,HRTF,3.23,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '15130G873', 'symbol': 'CETX', 'instrumentId': 240591155}, 'instruction': 'SELL', 'positionEffect': 'CLOSING', 'quantity': 2.0}]",SINGLE,1005015191936,False,False,FILLED,2025-12-30T14:34:50+0000,2025-12-30T14:34:53+0000,API_TOS:IPHONE,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109348107546, 'executionType': 'FILL', 'quantity': 2.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 2.0, 'mismarkedQuantity': 0.0, 'price': 3.23, 'time': '2025-12-30T14:34:53+0000', 'instrumentId': 240591155}]}]",,,
NORMAL,DAY,LIMIT,NONE,2.0,0.0,0.0,AUTO,CDRG,3.03,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '15130G873', 'symbol': 'CETX', 'instrumentId': 240591155}, 'instruction': 'BUY', 'positionEffect': 'OPENING', 'quantity': 2.0}]",SINGLE,1005015191774,False,False,CANCELED,2025-12-30T14:33:25+0000,2025-12-30T14:34:42+0000,API_TOS:IPHONE,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109348107403, 'executionType': 'CANCELED', 'quantity': 2.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 2.0, 'mismarkedQuantity': 0.0, 'price': 0.0, 'time': '2025-12-30T14:34:42+0000', 'instrumentId': 240591155}]}]",,,
NORMAL,DAY,LIMIT,NONE,2.0,2.0,0.0,AUTO,NITE,3.09,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '15130G873', 'symbol': 'CETX', 'instrumentId': 240591155}, 'instruction': 'BUY', 'positionEffect': 'OPENING', 'quantity': 2.0}]",SINGLE,1005015191668,False,False,FILLED,2025-12-30T14:32:26+0000,2025-12-30T14:32:26+0000,API_TOS:IPHONE,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109346215860, 'executionType': 'FILL', 'quantity': 2.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 2.0, 'mismarkedQuantity': 0.0, 'price': 3.085, 'time': '2025-12-30T14:32:26+0000', 'instrumentId': 240591155}]}]",,,
NORMAL,DAY,LIMIT,NONE,4.0,4.0,0.0,AUTO,NITE,3.35,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '83370P201', 'symbol': 'SOPA', 'instrumentId': 217918086}, 'instruction': 'SELL', 'positionEffect': 'CLOSING', 'quantity': 4.0}]",SINGLE,1005006966856,False,False,FILLED,2025-12-29T15:07:53+0000,2025-12-29T15:09:11+0000,API_TOS:IPHONE,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109280065687, 'executionType': 'FILL', 'quantity': 4.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 4.0, 'mismarkedQuantity': 0.0, 'price': 3.35, 'time': '2025-12-29T15:09:11+0000', 'instrumentId': 217918086}]}]",,,
NORMAL,DAY,LIMIT,NONE,4.0,4.0,0.0,AUTO,JNST,3.16,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '83370P201', 'symbol': 'SOPA', 'instrumentId': 217918086}, 'instruction': 'BUY', 'positionEffect': 'OPENING', 'quantity': 4.0}]",SINGLE,1005006966816,False,False,FILLED,2025-12-29T15:07:31+0000,2025-12-29T15:07:31+0000,API_TOS:IPHONE,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109280065042, 'executionType': 'FILL', 'quantity': 4.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 4.0, 'mismarkedQuantity': 0.0, 'price': 3.16, 'time': '2025-12-29T15:07:31+0000', 'instrumentId': 217918086}]}]",,,
NORMAL,DAY,MARKET,NONE,1.0,1.0,0.0,AUTO,JNST,,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '043635804', 'symbol': 'ASTI', 'instrumentId': 222728064}, 'instruction': 'SELL', 'positionEffect': 'CLOSING', 'quantity': 1.0}]",SINGLE,1004985901390,False,False,FILLED,2025-12-23T19:09:09+0000,2025-12-23T19:09:10+0000,TA_hartnc15gmailcom1741705857,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109108875342, 'executionType': 'FILL', 'quantity': 1.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 1.0, 'mismarkedQuantity': 0.0, 'price': 5.785, 'time': '2025-12-23T19:09:10+0000', 'instrumentId': 222728064}]}]",FIFO,,
NORMAL,DAY,STOP,NONE,1.0,0.0,0.0,AUTO,SOHO,,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '043635804', 'symbol': 'ASTI', 'instrumentId': 222728064}, 'instruction': 'SELL', 'positionEffect': 'CLOSING', 'quantity': 1.0}]",SINGLE,1004985901310,False,False,REPLACED,2025-12-23T19:08:15+0000,2025-12-23T19:09:10+0000,TA_hartnc15gmailcom1741705857,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109108875335, 'executionType': 'CANCELED', 'quantity': 1.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 1.0, 'mismarkedQuantity': 0.0, 'price': 0.0, 'time': '2025-12-23T19:09:10+0000', 'instrumentId': 222728064}]}]",FIFO,5.28,STANDARD
NORMAL,DAY,MARKET,NONE,1.0,1.0,0.0,AUTO,ETMM,,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '043635804', 'symbol': 'ASTI', 'instrumentId': 222728064}, 'instruction': 'BUY', 'positionEffect': 'OPENING', 'quantity': 1.0}]",SINGLE,1004985901303,False,False,FILLED,2025-12-23T19:08:11+0000,2025-12-23T19:08:11+0000,TA_hartnc15gmailcom1741705857,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109108874780, 'executionType': 'FILL', 'quantity': 1.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 1.0, 'mismarkedQuantity': 0.0, 'price': 5.7227, 'time': '2025-12-23T19:08:11+0000', 'instrumentId': 222728064}]}]",FIFO,,
NORMAL,DAY,MARKET,NONE,1.0,1.0,0.0,AUTO,ETMM,,"[{'orderLegType': 'EQUITY', 'legId': 1, 'instrument': {'assetType': 'EQUITY', 'cusip': '043635804', 'symbol': 'ASTI', 'instrumentId': 222728064}, 'instruction': 'SELL', 'positionEffect': 'CLOSING', 'quantity': 1.0}]",SINGLE,1004985900567,False,False,FILLED,2025-12-23T19:00:02+0000,2025-12-23T19:00:02+0000,TA_hartnc15gmailcom1741705857,80157725,,"[{'activityType': 'EXECUTION', 'activityId': 109107750021, 'executionType': 'FILL', 'quantity': 1.0, 'orderRemainingQuantity': 0.0, 'executionLegs': [{'legId': 1, 'quantity': 1.0, 'mismarkedQuantity': 0.0, 'price': 5.3473, 'time': '2025-12-23T19:00:02+0000', 'instrumentId': 222728064}]}]",FIFO,,
